lat,lng,count,,,,
-28.374,129.207,342.6,,,,
-28.386,129.205,343.8,,,,
-28.373,129.2,342.2,,,,
-28.386,129.199,346.8,,,,
-28.399,129.197,362.8,,,,
-28.401,129.219,349,,,,
-28.411,129.196,370.3,,,,
-28.414,129.217,378.9,,,,
-28.426,129.347,361.6,,,,
-28.428,129.369,345,,,,
-28.524,128.494,336.5,,,,
-28.587,128.624,340.2,,,,
-28.587,128.506,343.4,,,,
-28.591,128.544,343.2,,,,
-28.591,128.499,347,,,,
-28.593,128.519,345.6,,,,
-28.594,128.538,339,,,,
-28.596,128.557,338,,,,
-28.603,128.498,349,,,,
-28.621,128.554,347.2,,,,
-28.623,128.574,348,,,,
-27.923,122.767,352.7,,,,
-27.925,122.777,344,,,,
-28.633,128.553,340,,,,
-28.635,128.572,336.4,,,,
-27.932,122.765,420.5,,,,
-27.934,122.775,361.4,,,,
-28.68,128.647,348.8,,,,
-28.682,128.667,340.2,,,,
-28.683,128.64,338.9,,,,
-28.684,128.66,346.7,,,,
-27.997,122.83,341.6,,,,
-28.712,128.557,343.2,,,,
-28.724,128.555,349.8,,,,
-28.728,128.595,347.1,,,,
-28.73,128.614,369,,,,
-28.734,128.534,348.2,,,,
-28.736,128.554,357.2,,,,
-28.74,128.593,346.4,,,,
-28.742,128.613,344,,,,
-28.746,128.533,334.4,,,,
-28.748,128.552,373.8,,,,
-28.761,128.551,340.1,,,,
-28.763,128.571,366.1,,,,
-28.765,128.59,371.6,,,,
-28.767,128.61,349.4,,,,
-28.785,128.789,349.6,,,,
-28.775,128.569,337.2,,,,
-28.795,128.768,345.6,,,,
-28.797,128.788,396.7,,,,
-28.752,128.546,361.9,,,,
-28.754,128.566,349.3,,,,
-28.759,128.625,339.9,,,,
-28.766,128.564,361.8,,,,
-28.768,128.584,369.7,,,,
-28.77,128.604,354.9,,,,
-28.787,128.784,347.7,,,,
-28.789,128.804,338.9,,,,
-28.799,128.782,397.2,,,,
-28.801,128.802,358.3,,,,
-28.812,128.781,401.5,,,,
-28.814,128.801,353.3,,,,
-28.824,128.779,389.3,,,,
-29.105,131.311,355.9,,,,
-29.105,131.304,353.2,,,,
-29.107,131.335,333.3,,,,
-28.902,128.784,336.2,,,,
-28.913,128.762,334.1,,,,
